scenario_id,element_group,element_name,required,expected_elements,elements_received,missing_elements,subfields_dropped,wrongly_withheld,completeness_pct
A,assessment,assessment_code,True,13,13.0,0.0,0.0,0.0,100.0
A,assessment,assessment_datetime,False,13,13.0,0.0,0.0,0.0,100.0
A,assessment,assessment_score,True,13,13.0,0.0,0.0,0.0,100.0
A,diagnosis,diagnosis_code,True,19,19.0,0.0,0.0,0.0,100.0
A,diagnosis,diagnosis_display,False,19,19.0,0.0,0.0,0.0,100.0
A,diagnosis,diagnosis_onset,False,19,19.0,0.0,0.0,0.0,100.0
A,encounter,encounter_class,True,20,20.0,0.0,0.0,0.0,100.0
A,encounter,encounter_datetime,True,20,20.0,0.0,0.0,0.0,100.0
A,medication,medication_code,True,7,7.0,0.0,0.0,0.0,100.0
A,medication,medication_dose,False,7,7.0,0.0,0.0,0.0,100.0
A,medication,medication_frequency,False,7,7.0,0.0,0.0,0.0,100.0
