scenario_id,element_group,element_name,comparable_elements,values_preserved,value_mismatches,semantic_degradations,fidelity_pct
A,assessment,assessment_score,13,11.0,2.0,0.0,84.62
A,medication,medication_code,7,6.0,0.0,1.0,85.71
A,diagnosis,diagnosis_code,18,16.0,1.0,1.0,88.89
A,assessment,assessment_code,13,13.0,0.0,0.0,100.0
A,assessment,assessment_datetime,12,12.0,0.0,0.0,100.0
A,diagnosis,diagnosis_display,18,18.0,0.0,0.0,100.0
A,diagnosis,diagnosis_onset,19,19.0,0.0,0.0,100.0
A,encounter,encounter_class,19,19.0,0.0,0.0,100.0
A,encounter,encounter_datetime,19,19.0,0.0,0.0,100.0
A,medication,medication_dose,6,6.0,0.0,0.0,100.0
A,medication,medication_frequency,7,7.0,0.0,0.0,100.0
