scenario_id,element_group,element_name,comparable_elements,values_preserved,value_mismatches,semantic_degradations,fidelity_pct
B,assessment,assessment_code,16,16.0,0.0,0.0,100.0
B,assessment,assessment_datetime,16,16.0,0.0,0.0,100.0
B,assessment,assessment_score,16,16.0,0.0,0.0,100.0
B,diagnosis,diagnosis_code,17,17.0,0.0,0.0,100.0
B,diagnosis,diagnosis_display,17,17.0,0.0,0.0,100.0
B,diagnosis,diagnosis_onset,17,17.0,0.0,0.0,100.0
B,encounter,encounter_class,17,17.0,0.0,0.0,100.0
B,encounter,encounter_datetime,17,17.0,0.0,0.0,100.0
B,medication,medication_code,7,7.0,0.0,0.0,100.0
B,medication,medication_dose,7,7.0,0.0,0.0,100.0
B,medication,medication_frequency,7,7.0,0.0,0.0,100.0
